id,landmark_id,class_id
6080a19c874c046b,126637,627
7c6dc65132fb4c69,20409,92
8543924623e56b24,62074,310
e01d50f9b37b6e95,45428,225
a3c81920c11799e6,47133,235
b3d053a3592d0bf4,187209,922
35652c9bf535ca78,36748,176
028b72ce4c1d304d,40088,196
1315079ca9bbccc3,168098,817
422ece78875acc04,20120,90
171008ace834aa73,25093,112
e9fd43b627eadac7,105337,508
aee20d16df13a185,10419,48
53a154b761a14d72,180901,890
7d940cb362cadc92,28139,129
a593187adaf3a93c,31531,149
20e70fb04a4e9890,199506,981
a87e268f0e7d225e,147828,723
10ccdf06fc93fef2,126721,628
9c86febc3e69d78b,108327,525
e5921cca348a80fe,108327,525
04a20f98019a6724,31361,146
d5a9a446a3f9ac00,146250,719
49b842d3174ad2d4,162833,791
4220f735bde88a70,75005,369
dab6aec7c9abe86b,27190,121
b70a60dda12928e5,18786,84
93a9a9c91397ebb6,107750,520
5788cbc06f113ef0,48522,245
88bdd857bb67bec0,48522,245
0b770decc5e94b9d,85633,412
1f369d71d2850a01,13755,63
0f2b277b8e849c36,76303,377
99f5f3315fdd8571,110398,537
b415b6428f3abb17,182973,900
3833c4ce975a833b,182973,900
b5821b4d6bad421b,120885,593
42cf6b84fc9d2777,111311,543
4db021ab4e40ec4c,121547,596
f784ee2c1daa24ac,64792,321
f680e22ea407238c,194406,960
56f65f3bb53c11c9,1127,9
c019e4502fed1d43,5004,27
a4bcdc82e3f13ff4,17062,78
996bc868a405fb83,18392,82
388b4cfa383fe0bb,137203,670
1a7ca000ab05f43c,148331,726
f00e5837cbc46086,172929,847
21998a10dd99d38b,172929,847
26c7943a30f393db,172929,847
afea9774f17b237f,192761,952
44eb21549be78899,16658,77
e2fd813de760b9f0,67929,338
8c2e963a84aba463,132969,649
670054b6eaf4100d,195412,965
df8ee7c3f1b828a3,90021,436
e57b0f1cf662102e,126159,623
8734466e59a34ac3,21703,99
09fd435db7034411,21703,99
f8d94823671730cd,97717,470
c597e4682e61263d,129781,637
f57176d243c308fd,169349,828
7ca76702a7c3e2eb,169349,828
c1d0503c737b578f,31094,143
2371efb46dd9cf76,38494,187
47b19386b19ab23c,114289,561
56695bfd6a93403e,184906,909
968c09b0ef794283,96663,468
c8ffe0faab12f8b0,122142,599
eaa9708dceb44ee8,122418,603
03fdad60900991ae,26012,117
73b083d302e53797,102904,499
d1926f44d5795273,163227,793
8be17deafd2d67a9,34232,166
dd72668056cc2080,113462,553
3f040e9b8f7e29c1,113462,553
3012143d6e9502ee,164191,796
e4b2fd2f38436d57,31371,147
551ae41c4dd08f8c,193550,956
1b60d346eba129a9,123159,605
a1b8aa9d75c66cee,123159,605
edebd89e3a8d1f1c,94741,459
3b11c26e5e4b0cc1,925,7
ca69016e3f26ab49,1685,12
afe5658466ec0a7e,35098,168
75e111d94e3601c4,134466,660
20ce4cc6dc0811bf,70088,349
29ced46f16c67cc9,102850,498
95c1983b9cf95eea,102850,498
624774ff852b02ee,3732,21
8827e9a3b3b4c96a,31294,144
89b7bbbef90d6091,47733,241
b749988189f62753,91274,441
009910fb6fcaa8ab,43845,216
a02bd9fb126a26a0,138526,677
d903b90bc638b920,106852,515
65089de454091118,55350,266
45905641fed0dcbc,55350,266
1afccc5302ea7b49,39938,195
6ef304b030b57713,58608,285
b1593a2ea91c2e4c,58608,285
b4358d8c96009eb9,113636,555
5d31e4f6fee42e14,72686,357
63df7f7f98022fb4,72686,357
ed4d867384955e0f,98003,472
7eb980d8178d1093,93435,450
abe2a8a3fb313816,31470,148
58fe0690e7d09a86,171546,838
860b25196d697916,119481,582
e158ba48408f97cc,120053,587
dc3cf65a7f1e2005,114946,564
c2154bb9f2ccd32c,114946,564
77b61e026fbcfd9f,133226,651
fa76a58dd64ed21b,31898,154
61aafd76672a5525,15515,74
d81d941a80736410,39209,191
250dfb6143c6e300,110320,536
9383534fda7ab36d,84939,409
09d5346ece4433fa,59831,292
141ef86ca7c41cdb,73727,363
ceaf0aac071b85dd,73727,363
30630d009ac1e39a,177602,869
42512ca915ca45fe,162604,788
5ec0cf268f60722f,193164,954
37771a69c5a7a4e9,98460,476
0c29f224c1fa685a,157756,764
28af333dc855feeb,89207,433
7d641fdf4fda2803,191316,945
cf332257d0ee6c06,150591,737
d55b9254a827d52f,41759,208
53e45bd5b27442a9,193505,955
5f4b055c21a70eab,115820,566
76e4bfd239a93dcd,23785,109
23f68034fb724383,130039,638
a072ef04fb2c2f3f,10514,49
68828eb8de4c7d44,178660,876
bd1ece09a8d5d76f,185205,912
cb9b8dbff21c2028,32004,156
273894368b502d49,4226,24
5b18792a30f60f6b,139982,690
b1591e1649a01efb,454,3
ca571c9c12f9151f,454,3
893ac5ccaf1683af,110908,539
f186a5befa6e221e,104906,505
4d9c63c3a417fe7d,104906,505
6263f745ec26278f,169748,829
a54192cf3edbb895,62702,312
18ab5d816b494ef0,186957,920
2b1b08e670563e74,67480,337
b95fdfcfceda6c4f,185455,914
b8c4eca7f2ab7234,119571,584
f1fb3bb5b8770d48,138132,673
cef8e66cac1e06ae,145429,714
1ab584bdde73e54d,145429,714
8fc39c273d16fe74,168857,822
64d0e8b9e2b98177,32338,158
3754daa03de86f5a,1346,11
ff371f0a7ffd3fbe,113253,552
84481a99b23b9ba4,562,4
e0e7681df76329ce,140067,691
65b26374db5166f5,61782,307
bacaa03416464030,132033,645
367e9062881c3f8a,40530,198
f2051307610b2050,60661,298
5cae6574256c3452,83235,403
8e6a8a8ff362df96,94287,455
5eeaf8ff1d971288,86751,420
44d51da72d77ad4d,86751,420
7646aebfb9f19784,86751,420
ea15cf2e6c4a9bb7,86751,420
d01c599ae6350b38,168338,820
b03491df3a47c385,126465,625
bcbf994a147e635a,198838,974
df3887080b998927,33636,163
f0b0f8d5b3eb8ba4,1189,10
791a364d6399a5b7,148872,729
916bdce2b353cffe,67454,336
c211113095487de1,191889,946
741f42fb6e2ff236,8351,42
6b473594003e76d1,129428,635
8930c4bfc20e494d,107332,518
6d91396b56350a18,179550,882
c684af7f09ab5fbf,170651,832
2e48c216d1945ff3,180260,885
007e6f3190378bef,180762,889
e6ca9d2df696ed29,95728,462
3ad3baa75f2b6104,81351,397
5e01922814e83431,174321,856
965c40d1d1a80f98,10811,52
296b754a5a114418,111100,540
52712b6e11f42200,190869,938
483ac6c216878286,59272,289
e8ae813accb0aeb9,158921,770
de5c43a32528af57,158921,770
ec49f396ea5df600,8161,39
f69ea0de94f05594,8161,39
29e44132ef0593a1,67353,333
b23fa7c1a5098611,200305,985
b73738ef6bb70fb9,202055,993
6df590e646ab38fc,59470,290
2ba0d3d6ced62d64,31546,150
f63b96e1715e8f6d,101940,491
7c6e6964d1e45dc3,101940,491
4c5d1264e3cfd95a,115836,568
c8975961c0c810ae,93975,453
f05a0d58f9268a8a,27659,126
